,link1_change,link2_change,ssim_exp,stage,comparison_type
0,biherrerap,biherrerap,50.0,1,functions
1,SionHu,SionHu,11.76470588235294,1,functions
2,littlex2015,littlex2015,17.647058823529413,1,functions
3,Nigogu,Nigogu,66.66666666666666,1,functions
4,AkaGar,AkaGar,54.54545454545454,1,functions
5,ko68,ko68,24.390243902439025,1,functions
6,whipplem123,whipplem123,80.0,1,functions
7,jmamaril25,jmamaril25,62.5,1,functions
8,Alekzu,Alekzu,100.0,1,functions
9,nbraunec,nbraunec,100.0,1,functions
10,Ilyumzhinov,Ilyumzhinov,100.0,1,functions
11,Camiioo,Camiioo,100.0,1,functions
12,Gavnic,Gavnic,100.0,1,functions
13,Sariilan,Sariilan,100.0,1,functions
14,nviverosb,nviverosb,59.25925925925925,1,functions
15,dieguischa,dieguischa,5.88235294117647,1,functions
16,Acreed21,Acreed21,25.0,1,functions
17,ecottle,ecottle,57.14285714285714,1,functions
18,Ozai98,Ozai98,100.0,1,functions
19,Daryhez,Daryhez,4.761904761904762,1,functions
20,sanjitsama,sanjitsama,5.88235294117647,1,functions
21,DiegoAraque1207,DiegoAraque1207,60.0,1,functions
22,SergioLopez40,SergioLopez40,100.0,1,functions
23,yaochoal,yaochoal,15.0,1,functions
24,viswapurdue,viswapurdue,10.0,1,functions
25,matson3,matson3,1.282051282051282,1,functions
26,laurenjank,laurenjank,50.0,2,functions
27,JorgeTorresC,JorgeTorresC,100.0,2,functions
28,LukasMMarinovic,LukasMMarinovic,33.33333333333333,2,functions
29,daapinzonch,daapinzonch,25.0,2,functions
30,bzin22,bzin22,7.4074074074074066,2,functions
31,bfprietoc,bfprietoc,100.0,2,functions
32,frnkbs,frnkbs,57.14285714285714,2,functions
33,lennwgs,lennwgs,100.0,2,functions
34,vvargasd,vvargasd,100.0,2,functions
35,CampbellC2,CampbellC2,12.5,2,functions
36,Orloffyeah,Orloffyeah,33.33333333333333,2,functions
37,GeoffYart,GeoffYart,64.28571428571429,2,functions
38,aclipfel,aclipfel,100.0,2,functions
39,anythinglord,anythinglord,12.0,2,functions
40,Jfcastroh,Jfcastroh,100.0,2,functions
41,biherrerap,biherrerap,100.0,2,functions
42,Ilyumzhinov,Ilyumzhinov,100.0,2,functions
43,nbraunec,nbraunec,12.5,2,functions
44,ecottle,ecottle,66.66666666666666,2,functions
45,Ozai98,Ozai98,78.57142857142857,2,functions
46,dieguischa,dieguischa,2.34375,2,functions
47,Acreed21,Acreed21,100.0,2,functions
48,mdecloedt,mdecloedt,68.0,3,functions
49,zhao744,zhao744,27.058823529411764,3,functions
50,daapinzonch,daapinzonch,12.0,3,functions
51,shivans,shivans,100.0,3,functions
52,criscapunal,criscapunal,82.85714285714286,3,functions
53,JorgeTorresC,JorgeTorresC,100.0,3,functions
54,LukasMMarinovic,LukasMMarinovic,100.0,3,functions
55,LauraMolina,LauraMolina,100.0,3,functions
56,bzin22,bzin22,29.310344827586203,3,functions
57,CampbellC2,CampbellC2,10.256410256410255,3,functions
58,Joacampora,Joacampora,80.0,3,functions
59,aclipfel,aclipfel,100.0,3,functions
60,Alekzu,Alekzu,50.0,3,functions
61,whipplem123,whipplem123,100.0,3,functions
62,Nigogu,Nigogu,36.17021276595745,3,functions
63,Sariilan,Sariilan,100.0,3,functions
64,nviverosb,nviverosb,66.66666666666666,3,functions
65,Gavnic,Gavnic,28.57142857142857,3,functions
66,Ilyumzhinov,Ilyumzhinov,100.0,3,functions
67,matson3,matson3,69.56521739130434,3,functions
68,viswapurdue,viswapurdue,8.823529411764707,3,functions
69,yaochoal,yaochoal,26.666666666666668,3,functions
70,DiegoAraque1207,DiegoAraque1207,28.57142857142857,3,functions
71,Daryhez,Daryhez,100.0,3,functions
72,daapinzonch,daapinzonch,9.375,4,functions
73,daapinzonch,daapinzonch,57.89473684210527,4,functions
74,mdecloedt,mdecloedt,53.333333333333336,4,functions
75,zhao744,zhao744,87.8048780487805,4,functions
76,hihms,hihms,94.11764705882352,4,functions
77,shivans,shivans,100.0,4,functions
78,jmhunter4711,jmhunter4711,100.0,4,functions
79,criscapunal,criscapunal,60.0,4,functions
80,LauraMolina,LauraMolina,100.0,4,functions
81,olimita,olimita,91.25,4,functions
82,snugghash,snugghash,77.77777777777779,4,functions
83,Joacampora,Joacampora,79.36507936507937,4,functions
84,littlex2015,littlex2015,100.0,4,functions
85,SionHu,SionHu,100.0,4,functions
86,Alekzu,Alekzu,50.0,4,functions
87,jmamaril25,jmamaril25,57.65765765765766,4,functions
88,whipplem123,whipplem123,87.5,4,functions
89,AkaGar,AkaGar,73.07692307692307,4,functions
90,ko68,ko68,52.87356321839081,4,functions
91,Nigogu,Nigogu,91.83673469387756,4,functions
92,Sariilan,Sariilan,100.0,4,functions
93,nviverosb,nviverosb,4.761904761904762,4,functions
94,Gavnic,Gavnic,100.0,4,functions
95,Camiioo,Camiioo,100.0,4,functions
96,matson3,matson3,45.0261780104712,4,functions
97,yaochoal,yaochoal,8.51063829787234,4,functions
98,viswapurdue,viswapurdue,100.0,4,functions
99,SergioLopez40,SergioLopez40,50.0,4,functions
100,DiegoAraque1207,DiegoAraque1207,52.5,4,functions
101,sanjitsama,sanjitsama,100.0,4,functions
102,Daryhez,Daryhez,100.0,4,functions
103,BrandonAvilanR,BrandonAvilanR,60.7,1,complete
104,DaniCastel,DaniCastel,87.8,1,complete
105,DaveValencia,DaveValencia,67.4,1,complete
106,Orloffyeah,Orloffyeah,27.299999999999997,1,complete
107,alejosaur,alejosaur,0.09999999999999432,1,complete
108,anythinglord,anythinglord,50.6,1,complete
109,buendiagon,buendiagon,67.4,1,complete
110,cglaitong,cglaitong,5.700000000000003,1,complete
111,criscapunal,criscapunal,43.6,1,complete
112,csalfonsol,csalfonsol,87.6,1,complete
113,dieguischa,dieguischa,22.799999999999997,1,complete
114,jaasuarezvi,jaasuarezvi,67.4,1,complete
115,tres-xxx,tres-xxx,67.4,1,complete
116,BrandonAvilanR,BrandonAvilanR,60.8,2,complete
117,DaniCastel,DaniCastel,36.0,2,complete
118,DaveValencia,DaveValencia,67.4,2,complete
119,Orloffyeah,Orloffyeah,25.200000000000003,2,complete
120,alejosaur,alejosaur,0.0,2,complete
121,anythinglord,anythinglord,77.3,2,complete
122,buendiagon,buendiagon,67.4,2,complete
123,cglaitong,cglaitong,20.5,2,complete
124,criscapunal,criscapunal,59.1,2,complete
125,csalfonsol,csalfonsol,76.1,2,complete
126,dieguischa,dieguischa,16.5,2,complete
